Date,Player,SO_Prop
5/26/2023 20:40,Connor Seabold,3.5
5/26/2023 20:10,Freddy Peralta,6.5
5/26/2023 22:10,George Kirby,5.5
5/26/2023 19:05,Grayson Rodriguez,5.5
5/26/2023 21:40,Hunter Brown,6.5
5/26/2023 14:20,Hunter Greene,7.5
5/26/2023 21:40,James Kaprielian,4.5
5/26/2023 19:20,Jared Shuster,4.5
5/26/2023 21:38,Jesus Luzardo,5.5
5/26/2023 19:05,Joe Musgrove,5.5
5/26/2023 18:40,Joey Wentz,4.5
5/26/2023 19:05,Jon Gray,4.5
5/26/2023 20:10,Jordan Lyles,3.5
5/26/2023 14:20,Justin Steele,5.5
5/26/2023 20:10,Kevin Gausman,7.5
5/26/2023 18:40,Lance Lynn,6.5
5/26/2023 20:10,Louie Varland,4.5
5/26/2023 19:10,Matthew Liberatore,4.5
5/26/2023 20:40,Max Scherzer,5.5
5/26/2023 22:10,Mitch Keller,6.5
5/26/2023 18:40,Noah Syndergaard,3.5
5/26/2023 20:10,Patrick Corbin,3.5
5/26/2023 19:05,Randy Vasquez,3.5
5/26/2023 21:38,Reid Detmers,5.5
5/26/2023 19:10,Shane Bieber,5.5
5/26/2023 19:20,Taijuan Walker,4.5
5/27/2023 16:05,Andrew Heaney,5.5
5/27/2023 16:10,Brady Singer,4.5
5/27/2023 19:15,Brandon Williamson,4.5
5/27/2023 16:10,Charlie Morton,6.5
5/27/2023 14:10,Chris Bassitt,5.5
5/27/2023 16:10,Clayton Kershaw,6.5
5/27/2023 16:10,Corbin Burnes,7.5
5/27/2023 16:05,Dean Kremer,5.5
5/27/2023 19:15,Garrett Whitlock,3.5
5/27/2023 19:15,Jack Flaherty,4.5
5/27/2023 19:15,Jameson Taillon,4.5
5/27/2023 13:10,Jesse Scholtens,4.5
5/27/2023 16:10,Josiah Gray,4.5
5/27/2023 21:10,Justin Verlander,5.5
5/27/2023 16:10,Logan Webb,5.5
5/27/2023 16:10,Luis Castillo,7.5
5/27/2023 13:05,Luis Severino,5.5
5/27/2023 13:10,Michael Lorenzen,4.5
5/27/2023 13:05,Michael Wacha,4.5
5/27/2023 14:10,Pablo Lopez,6.5
5/27/2023 16:10,Roansy Contreras,5.5
5/27/2023 19:15,Tanner Bibee,4.5
5/27/2023 16:10,Tyler Glasnow,6.5
5/27/2023 19:15,Zach Davies,3.5
5/27/2023 16:10,Zack Wheeler,6.5
5/28/2023 14:10,Alex Cobb,5.5
5/28/2023 15:10,Austin Gomber,2.5
5/28/2023 14:10,Bailey Ober,4.5
5/28/2023 13:35,Cody Bradford,4.5
5/28/2023 14:10,Colin Rea,4.5
5/28/2023 16:07,Cristian Javier,6.5
5/28/2023 14:10,Daniel Lynch,4.5
5/28/2023 14:20,Drew Smyly,5.5
5/28/2023 13:40,Dylan Cease,6.5
5/28/2023 19:10,Dylan Covey,3.5
5/28/2023 13:40,Eduardo Rodriguez,5.5
5/28/2023 16:07,Eury Perez,5.5
5/28/2023 13:35,Gerrit Cole,7.5
5/28/2023 14:20,Graham Ashcraft,4.5
5/28/2023 13:40,Hunter Gaddis,3.5
5/28/2023 13:40,Jordan Montgomery,4.5
5/28/2023 14:10,Jose Berrios,6.5
5/28/2023 13:35,Kyle Bradish,4.5
5/28/2023 16:07,Luis Medina,4.5
5/28/2023 16:10,Luis Ortiz,4.5
5/28/2023 14:10,MacKenzie Gore,5.5
5/28/2023 16:10,Marco Gonzales,4.5
5/28/2023 16:10,Merrill Kelly,4.5
5/28/2023 16:07,Patrick Sandoval,4.5
5/28/2023 19:10,Spencer Strider,8.5
5/28/2023 16:10,Tanner Houck,4.5
5/28/2023 15:10,Tylor Megill,3.5
5/28/2023 13:35,Yu Darvish,5.5
5/29/2023 14:15,Adam Wainwright,4.5
5/29/2023 17:05,Anthony DeSclafani,4.5
5/29/2023 21:10,Bobby Miller,4.5
5/29/2023 21:40,Bryce Miller,5.5
5/29/2023 21:40,Domingo German,5.5
5/29/2023 20:10,Griffin Canning,4.5
5/29/2023 16:10,J.P. France,6.5
5/29/2023 16:10,Karl Kauffmann,3.5
5/29/2023 13:05,Logan Allen,4.5
5/29/2023 14:20,Marcus Stroman,4.5
5/29/2023 13:10,Matt Boyd,4.5
5/29/2023 20:10,Michael Kopech,6.5
5/29/2023 20:07,Mike Soroka,4.5
5/29/2023 13:10,Nathan Eovaldi,6.5
5/29/2023 20:07,Paul Blackburn,3.5
5/29/2023 17:05,Rich Hill,5.5
5/29/2023 16:10,Ryne Nelson,4.5
5/29/2023 16:10,Sonny Gray,5.5
5/29/2023 14:20,Taj Bradley,5.5
5/29/2023 21:10,Trevor Williams,3.5
5/29/2023 13:05,Tyler Wells,4.5
5/30/2023 18:40,Alex Faedo,4.5
5/30/2023 19:10,Ben Lively,3.5
5/30/2023 20:10,Brandon Bielak,4.5
5/30/2023 19:10,Brayan Bello,5.5
5/30/2023 21:40,Bryce Elder,5.5
5/30/2023 19:05,Cal Quantrill,3.5
5/30/2023 21:40,JP Sears,4.5
5/30/2023 20:10,Joe Ryan,6.5
5/30/2023 19:10,Kodai Senga,5.5
5/30/2023 21:40,Kyle Freeland,3.5
5/30/2023 19:05,Kyle Gibson,3.5
5/30/2023 20:05,Kyle Hendricks,3.5
5/30/2023 21:40,Logan Gilbert,5.5
5/30/2023 20:10,Lucas Giolito,6.5
5/30/2023 18:40,Martin Perez,4.5
5/30/2023 19:45,Miles Mikolas,4.5
5/30/2023 21:40,Nestor Cortes,6.5
5/30/2023 19:10,Ranger Suarez,4.5
5/30/2023 18:40,Sandy Alcantara,5.5
5/30/2023 20:05,Shane McClanahan,6.5
5/30/2023 22:10,Tony Gonsolin,4.5
5/30/2023 20:10,Tyler Anderson,4.5
5/30/2023 19:07,Yusei Kikuchi,5.5
5/30/2023 21:40,Zac Gallen,6.5
5/31/2023 19:10,Aaron Nola,5.5
5/31/2023 19:07,Alek Manoah,5.5
5/31/2023 15:45,Alex Wood,4.5
5/31/2023 18:40,Blake Snell,5.5
5/31/2023 18:40,Braxton Garrett,4.5
5/31/2023 19:10,Carlos Carrasco,4.5
5/31/2023 21:40,Clarke Schmidt,5.5
5/31/2023 13:10,Dane Dunning,4.5
5/31/2023 21:40,George Kirby,5.5
5/31/2023 20:10,Hunter Brown,7.5
5/31/2023 15:37,James Kaprielian,4.5
5/31/2023 19:10,James Paxton,5.5
5/31/2023 15:37,Jared Shuster,4.5
5/31/2023 13:10,Joey Wentz,4.5
5/31/2023 19:07,Julio Teheran,3.5
5/31/2023 14:20,Justin Steele,4.5
5/31/2023 14:10,Lance Lynn,6.5
5/31/2023 20:10,Louie Varland,4.5
5/31/2023 19:10,Luke Weaver,3.5
5/31/2023 15:45,Mitch Keller,6.5
5/31/2023 16:10,Noah Syndergaard,3.5
5/31/2023 16:10,Patrick Corbin,4.5
5/31/2023 21:40,Tommy Henry,4.5
5/31/2023 14:20,Zach Eflin,5.5
6/1/2023 15:40,Chase Anderson,3.5
6/1/2023 19:10,Chris Sale,6.5
6/1/2023 20:10,Framber Valdez,5.5
6/1/2023 13:07,Freddy Peralta,5.5
6/1/2023 19:10,Hunter Greene,6.5
6/1/2023 13:10,Jesus Luzardo,6.5
6/1/2023 13:10,Joe Musgrove,5.5
6/1/2023 13:07,Kevin Gausman,7.5
6/1/2023 13:10,Max Scherzer,6.5
6/1/2023 19:40,Pablo Lopez,5.5
6/1/2023 20:10,Reid Detmers,5.5
6/1/2023 13:10,Taijuan Walker,3.5
6/1/2023 19:40,Tanner Bibee,5.5
6/1/2023 15:40,Zach Davies,4.5
6/6/2023 19:20,Bryce Elder,4.5
6/6/2023 19:20,Carlos Carrasco,4.5
6/6/2023 20:05,Dane Dunning,4.5
6/6/2023 20:40,Dinelson Lamet,4.5
6/6/2023 19:40,Freddy Peralta,5.5
6/6/2023 21:38,Hayden Wesneski,4.5
6/6/2023 19:07,Hunter Brown,5.5
6/6/2023 19:05,Jake Irvin,3.5
6/6/2023 19:05,James Kaprielian,4.5
6/6/2023 19:10,James Paxton,5.5
6/6/2023 18:40,Jesus Luzardo,7.5
6/6/2023 21:40,Joe Musgrove,6.5
6/6/2023 19:07,Kevin Gausman,7.5
6/6/2023 19:40,Kyle Gibson,4.5
6/6/2023 21:40,Logan Gilbert,5.5
6/6/2023 18:40,Louie Varland,4.5
6/6/2023 19:10,Luke Weaver,4.5
6/6/2023 20:05,Matthew Liberatore,3.5
6/6/2023 19:05,Mitch Keller,6.5
6/6/2023 19:10,Shane Bieber,5.5
6/6/2023 18:40,Taijuan Walker,4.5
6/6/2023 19:05,Tommy Henry,3.5
6/6/2023 19:10,Tony Gonsolin,4.5
6/6/2023 21:38,Tyler Anderson,4.5
6/6/2023 18:40,Zach Eflin,5.5
6/6/2023 18:40,Zack Greinke,3.5
6/7/2023 19:10,Brandon Williamson,4.5
6/7/2023 19:20,Charlie Morton,6.5
6/7/2023 19:07,Chris Bassitt,4.5
6/7/2023 20:40,Connor Seabold,3.5
6/7/2023 18:10,Edward Cabrera,6.5
6/7/2023 16:10,George Kirby,5.5
6/7/2023 12:35,Hogan Harris,4.5
6/7/2023 20:05,Jack Flaherty,5.5
6/7/2023 21:38,Jaime Barria,4.5
6/7/2023 21:38,Jameson Taillon,4.5
6/7/2023 20:05,Jon Gray,5.5
6/7/2023 18:10,Jordan Lyles,3.5
